H	0.25
He	0.31
Li	1.52
Be	1.12
B	0.85
C	0.7
N	0.65
O	0.6
F	0.5
Ne	0.38
Na	1.86
Mg	1.6
Al	1.43
Si	1.1
P	1
S	1
Cl	1
Ar	0.71
K	2.27
Ca	1.97
Sc	1.62
Ti	1.47
V	1.34
Cr	1.28
Mn	1.27
Fe	1.26
Co	1.25
Ni	1.24
Cu	1.28
Zn	1.34
Ga	1.35
Ge	1.25
As	1.15
Se	1.15
Br	1.15
Kr	0.88
Rb	2.48
Sr	2.15
Y	1.8
Zr	1.6
Nb	1.46
Mo	1.39
Tc	1.36
Ru	1.34
Rh	1.34
Pd	1.37
Ag	1.44
Cd	1.51
In	1.67
Sn	1.45
Sb	1.45
Te	1.4
I	1.4
Xe	1.08
Cs	2.65
Ba	2.22
La	1.87
Ce	1.818
Pr	1.824
Nd	1.814
Pm	1.834
Sm	1.804
Eu	1.804
Gd	1.804
Tb	1.773
Dy	1.781
Ho	1.762
Er	1.761
Tm	1.759
Yb	1.76
Lu	1.738
Hf	1.59
Ta	1.46
W	1.39
Re	1.37
Os	1.35
Ir	1.355
Pt	1.385
Au	1.44
Hg	1.51
Tl	1.7
Pb	1.8
Bi	1.6
Po	1.9
At	2.02
Rn	1.2
Fr	3.48
Ra	2.83
Ac	1.95
Th	1.79
Pa	1.63
U	1.56
Np	1.55
Pu	1.59
Am	1.73
Cm	1.74
Bk	1.7
Cf	1.86
Es	1.86
